J,mu,phi,<n>,<dN^2>
0.006779661016949153,0.3728813559322034,1.996287683105094e-10,8.999999999806397,8.999999999806397
0.006779661016949153,0.3898305084745763,1.9493262238817003e-10,8.999999999889166,8.999999999889166
0.006779661016949153,0.4067796610169492,1.927564580548251e-10,8.999999999967306,8.999999999967306
0.006779661016949153,0.423728813559322,1.92921408305393e-10,9.000000000042231,9.000000000042231
0.006779661016949153,0.4406779661016949,1.953440128563331e-10,9.000000000115108,9.000000000115108
0.006779661016949153,0.4576271186440678,2.000520087548111e-10,9.000000000187038,9.000000000187038
0.006779661016949153,0.4745762711864407,2.0715469999283354e-10,9.000000000258984,9.000000000258984
0.006779661016949153,0.4915254237288136,2.1687362398516345e-10,9.000000000332046,9.000000000332046
0.006779661016949153,0.5084745762711864,2.2952818695783424e-10,9.000000000407143,9.000000000407143
0.006779661016949153,0.5254237288135594,2.455861056999124e-10,9.000000000485326,9.000000000485326
0.006779661016949153,0.5423728813559322,2.6567267860326e-10,9.000000000567756,9.000000000567756
0.006779661016949153,0.559322033898305,2.9063368253483203e-10,9.000000000655678,9.000000000655678
0.006779661016949153,0.576271186440678,3.215916760795925e-10,9.000000000750461,9.000000000750461
0.006779661016949153,0.5932203389830508,3.600685922496222e-10,9.000000000853797,9.000000000853797
0.006779661016949153,0.6101694915254238,4.081308710624256e-10,9.000000000967583,9.000000000967583
0.006779661016949153,0.6271186440677966,4.685739682387711e-10,9.000000001094193,9.000000001094193
0.006779661016949153,0.6440677966101694,5.452930137024188e-10,9.000000001236407,9.000000001236407
0.006779661016949153,0.6610169491525424,6.437573416693363e-10,9.000000001397844,9.000000001397844
0.006779661016949153,0.6779661016949152,7.717956593709957e-10,9.000000001582944,9.000000001582944
0.006779661016949153,0.6949152542372882,9.407906637978383e-10,9.000000001797426,9.000000001797426
0.006779661016949153,0.711864406779661,1.1677431556673406e-09,9.000000002048868,9.000000002048868
0.006779661016949153,0.7288135593220338,1.4785493919171776e-09,9.000000002346942,9.000000002346942
0.006779661016949153,0.7457627118644068,1.9138400634882574e-09,9.000000002705033,9.000000002705033
0.006779661016949153,0.7627118644067796,2.53935114941631e-09,9.00000000314131,9.00000000314131
0.006779661016949153,0.7796610169491526,3.4650902469506716e-09,9.000000003681517,9.000000003681517
0.006779661016949153,0.7966101694915254,4.8832291803955805e-09,9.000000004362485,9.000000004362485
0.006779661016949153,0.8135593220338984,7.1450632107237985e-09,9.000000005239523,9.000000005239523
0.006779661016949153,0.8305084745762712,1.0930373555163043e-08,9.0000000063973,9.0000000063973
0.006779661016949153,0.847457627118644,1.764528466547454e-08,9.000000007972513,9.000000007972513
0.006779661016949153,0.864406779661017,3.0448372853483396e-08,9.000000010197326,9.000000010197326
0.006779661016949153,0.8813559322033898,5.720730790400972e-08,9.000000013493135,9.000000013493135
0.006779661016949153,0.8983050847457628,1.2034662411112307e-07,9.000000018696495,9.000000018696495
0.006779661016949153,0.9152542372881356,2.967281371170753e-07,9.000000027684573,9.000000027684573
0.006779661016949153,0.9322033898305084,9.322953656389255e-07,9.000000045529884,9.000000045529884
0.006779661016949153,0.9491525423728814,4.498239236831038e-06,9.000000091253765,9.000000091253765
0.006779661016949153,0.9661016949152542,6.552277148023969e-05,9.000000342663473,9.000000342663473
0.006779661016949153,0.9830508474576272,0.0001980119857994395,9.999999904119164,9.999999904119164
0.006779661016949153,1.0,6.750206083472611e-05,9.999999988778354,9.999999988778354
0.01016949152542373,0.0,7.450321118457421e-05,8.000000026397888,8.000000026397888
0.01016949152542373,0.01694915254237288,0.000731200079425286,8.00000250410679,8.00000250410679
0.01016949152542373,0.03389830508474576,1.0257557598857908e-05,8.999999751867414,8.999999751867414
0.01016949152542373,0.05084745762711865,1.2281693839896415e-06,8.999999909517665,8.999999909517665
0.01016949152542373,0.06779661016949153,3.1997560116251784e-07,8.999999952223853,8.999999952223853
0.01016949152542373,0.0847457627118644,1.2046266745428873e-07,8.999999970397747,8.999999970397747
0.01016949152542373,0.1016949152542373,5.654956249596756e-08,8.999999979896849,8.999999979896849
0.01016949152542373,0.11864406779661017,3.079649752152626e-08,8.999999985509476,8.999999985509476
0.01016949152542373,0.13559322033898305,1.867168282915638e-08,8.99999998911217,8.99999998911217
0.01016949152542373,0.15254237288135594,1.2281490811755026e-08,8.999999991568473,8.999999991568473
0.01016949152542373,0.1694915254237288,8.613554674948273e-09,8.999999993322545,8.999999993322545
0.01016949152542373,0.1864406779661017,6.363375573351172e-09,8.999999994622431,8.999999994622431
0.01016949152542373,0.2033898305084746,4.908019726622442e-09,8.9999999956156,8.9999999956156
0.01016949152542373,0.22033898305084745,3.92588980287091e-09,8.999999996394399,8.999999996394399
0.01016949152542373,0.23728813559322035,3.2400632258822724e-09,8.999999997019042,8.999999997019042
0.01016949152542373,0.2542372881355932,2.7479148356714767e-09,8.999999997530262,8.999999997530262
0.01016949152542373,0.2711864406779661,2.3872391761424173e-09,8.999999997956463,8.999999997956463
0.01016949152542373,0.288135593220339,2.1189020443390336e-09,8.999999998317877,8.999999998317877
0.01016949152542373,0.3050847457627119,1.917496359999827e-09,8.999999998629454,8.999999998629454
0.01016949152542373,0.3220338983050847,1.766107520809401e-09,8.999999998902274,8.999999998902274
0.01016949152542373,0.3389830508474576,1.6532576914830316e-09,8.999999999144904,8.999999999144904
0.01016949152542373,0.3559322033898305,1.5710723739401363e-09,8.999999999363942,8.999999999363942
0.01016949152542373,0.3728813559322034,1.5141212330313715e-09,8.999999999564631,8.999999999564631
0.01016949152542373,0.3898305084745763,1.478715678830318e-09,8.9999999997514,8.9999999997514
0.01016949152542373,0.4067796610169492,1.4624575669037576e-09,8.999999999927791,8.999999999927791
0.01016949152542373,0.423728813559322,1.4639523606643835e-09,9.000000000096833,9.000000000096833
0.01016949152542373,0.4406779661016949,1.4826279376438827e-09,9.000000000261362,9.000000000261362
0.01016949152542373,0.4576271186440678,1.5186625680132028e-09,9.000000000423718,9.000000000423718
0.01016949152542373,0.4745762711864407,1.5729506669928487e-09,9.000000000586269,9.000000000586269
0.01016949152542373,0.4915254237288136,1.6471453105238231e-09,9.00000000075125,9.00000000075125
0.01016949152542373,0.5084745762711864,1.743754267637527e-09,9.000000000921025,9.000000000921025
0.01016949152542373,0.5254237288135594,1.866313835594853e-09,9.000000001097812,9.000000001097812
0.01016949152542373,0.5423728813559322,2.0196400353368082e-09,9.000000001284286,9.000000001284286
0.01016949152542373,0.559322033898305,2.2102076390180007e-09,9.000000001483322,9.000000001483322
0.01016949152542373,0.576271186440678,2.4466966599803336e-09,9.000000001698067,9.000000001698067
0.01016949152542373,0.5932203389830508,2.740779169935674e-09,9.000000001932207,9.000000001932207
0.01016949152542373,0.6101694915254238,3.108256842478321e-09,9.000000002190374,9.000000002190374
0.01016949152542373,0.6271186440677966,3.570774807821052e-09,9.000000002477828,9.000000002477828
0.01016949152542373,0.6440677966101694,4.158341135843798e-09,9.000000002801187,9.000000002801187
0.01016949152542373,0.6610169491525424,4.913220715919059e-09,9.00000000316853,9.00000000316853
0.01016949152542373,0.6779661016949152,5.89595788818375e-09,9.000000003590406,9.000000003590406
0.01016949152542373,0.6949152542372882,7.195032400893277e-09,9.000000004080237,9.000000004080237
0.01016949152542373,0.711864406779661,8.942546504909862e-09,9.000000004655103,9.000000004655103
0.01016949152542373,0.7288135593220338,1.1340765330878972e-08,9.000000005338201,9.000000005338201
0.01016949152542373,0.7457627118644068,1.4708076269870096e-08,9.000000006160873,9.000000006160873
0.01016949152542373,0.7627118644067796,1.95618494735283e-08,9.00000000716639,9.00000000716639
0.01016949152542373,0.7796610169491526,2.6773849695177807e-08,9.000000008416038,9.000000008416038
0.01016949152542373,0.7966101694915254,3.7876264137597206e-08,9.0000000099991,9.0000000099991
0.01016949152542373,0.8135593220338984,5.569801868861603e-08,9.00000001205012,9.00000001205012
0.01016949152542373,0.8305084745762712,8.577816112359349e-08,9.000000014779804,9.000000014779804
0.01016949152542373,0.847457627118644,1.397621437230352e-07,9.000000018534202,9.000000018534202
0.01016949152542373,0.864406779661017,2.44397687750637e-07,9.000000023918544,9.000000023918544
0.01016949152542373,0.8813559322033898,4.68499585162813e-07,9.000000032076652,9.000000032076652
0.01016949152542373,0.8983050847457628,1.0182029782923653e-06,9.000000045423041,9.000000045423041
0.01016949152542373,0.9152542372881356,2.6616896800414086e-06,9.00000006995992,9.00000006995992
0.01016949152542373,0.9322033898305084,9.472175357252699e-06,9.000000125458147,9.000000125458147
0.01016949152542373,0.9491525423728814,6.717967625841233e-05,9.00000034318985,9.00000034318985
0.01016949152542373,0.9661016949152542,0.0005744073898390524,9.999999203063917,9.999999203063917
0.01016949152542373,0.9830508474576272,0.00012293484278423322,9.999999963297363,9.999999963297363
0.01016949152542373,1.0,6.883328442521775e-05,9.999999988356908,9.999999988356908
0.013559322033898306,0.0,7.798679668103871e-05,8.000000028587433,8.000000028587433
0.013559322033898306,0.01694915254237288,0.0002431635615843617,8.000000271674619,8.000000271674619
0.013559322033898306,0.03389830508474576,6.749719558049773e-05,8.999999344040816,8.999999344040816
0.013559322033898306,0.05084745762711865,5.866534432820831e-06,8.999999819657871,8.999999819657871
0.013559322033898306,0.06779661016949153,1.4244376343443316e-06,8.99999990996017,8.99999990996017
0.013559322033898306,0.0847457627118644,5.220183568753278e-07,8.999999945441145,8.999999945441145
0.013559322033898306,0.1016949152542373,2.419342948586359e-07,8.999999963366594,8.999999963366594
0.013559322033898306,0.11864406779661017,1.308508614698595e-07,8.999999973768212,8.999999973768212
0.013559322033898306,0.13559322033898305,7.901686153154373e-08,8.999999980372555,8.999999980372555
0.013559322033898306,0.15254237288135594,5.1847075631125376e-08,8.999999984843603,8.999999984843603
0.013559322033898306,0.1694915254237288,3.630644151933367e-08,8.99999998802092,8.99999998802092
0.013559322033898306,0.1864406779661017,2.679514006522199e-08,8.999999990367188,8.999999990367188
0.013559322033898306,0.2033898305084746,2.065355053074663e-08,8.99999999215512,8.99999999215512
0.013559322033898306,0.22033898305084745,1.651384020818368e-08,8.999999993554257,8.999999993554257
0.013559322033898306,0.23728813559322035,1.362553599908165e-08,8.99999999467474,8.99999999467474
0.013559322033898306,0.2542372881355932,1.1554279119761145e-08,8.999999995590773,8.999999995590773
0.013559322033898306,0.2711864406779661,1.0037158837949566e-08,8.99999999635365,8.99999999635365
0.013559322033898306,0.288135593220339,8.908958474149258e-09,8.99999999700003,8.99999999700003
0.013559322033898306,0.3050847457627119,8.062546779098174e-09,8.999999997556897,8.999999997556897
0.013559322033898306,0.3220338983050847,7.42666023634208e-09,8.99999999804431,8.99999999804431
0.013559322033898306,0.3389830508474576,6.9529718613424135e-09,8.999999998477511,8.999999998477511
0.013559322033898306,0.3559322033898305,6.608310014267568e-09,8.99999999886854,8.99999999886854
0.013559322033898306,0.3728813559322034,6.3698589702000225e-09,8.999999999226802,8.999999999226802
0.013559322033898306,0.3898305084745763,6.222133600681589e-09,8.999999999560206,8.999999999560206
0.013559322033898306,0.4067796610169492,6.155081823711885e-09,8.999999999875088,8.999999999875088
0.013559322033898306,0.423728813559322,6.162871064479814e-09,9.000000000176913,9.000000000176913
0.013559322033898306,0.4406779661016949,6.24317076645719e-09,9.000000000470626,9.000000000470626
0.013559322033898306,0.4576271186440678,6.396794246422182e-09,9.000000000760682,9.000000000760682
0.013559322033898306,0.4745762711864407,6.627602096969071e-09,9.00000000105121,9.00000000105121
0.013559322033898306,0.4915254237288136,6.9426848935295486e-09,9.000000001346196,9.000000001346196
0.013559322033898306,0.5084745762711864,7.352770360165057e-09,9.000000001649834,9.000000001649834
0.013559322033898306,0.5254237288135594,7.872962117943589e-09,9.00000000196639,9.00000000196639
0.013559322033898306,0.5423728813559322,8.523842352769782e-09,9.000000002300474,9.000000002300474
0.013559322033898306,0.559322033898305,9.33310448710576e-09,9.000000002657245,9.000000002657245
0.013559322033898306,0.576271186440678,1.033789998181754e-08,9.000000003042862,9.000000003042862
0.013559322033898306,0.5932203389830508,1.1588236542630229e-08,9.000000003463606,9.000000003463606
0.013559322033898306,0.6101694915254238,1.3151954072300727e-08,9.000000003927893,9.000000003927893
0.013559322033898306,0.6271186440677966,1.5122094738647553e-08,9.000000004445566,9.000000004445566
0.013559322033898306,0.6440677966101694,1.7627955634242078e-08,9.000000005028703,9.000000005028703
0.013559322033898306,0.6610169491525424,2.0852034879657667e-08,9.00000000569256,9.00000000569256
0.013559322033898306,0.6779661016949152,2.5056553957366695e-08,9.00000000645641,9.00000000645641
0.013559322033898306,0.6949152542372882,3.06258610110732e-08,9.000000007344777,9.000000007344777
0.013559322033898306,0.711864406779661,3.813622238671304e-08,9.000000008390321,9.000000008390321
0.013559322033898306,0.7288135593220338,4.8473900878736155e-08,9.000000009636913,9.000000009636913
0.013559322033898306,0.7457627118644068,6.304185567314518e-08,9.000000011143468,9.000000011143468
0.013559322033898306,0.7627118644067796,8.413532077112865e-08,9.000000012993251,9.000000012993251
0.013559322033898306,0.7796610169491526,1.1565461050032874e-07,9.00000001530502,9.00000001530502
0.013559322033898306,0.7966101694915254,1.6452747235296405e-07,9.000000018254031,9.000000018254031
0.013559322033898306,0.8135593220338984,2.43719746114674e-07,9.000000022109536,9.000000022109536
0.013559322033898306,0.8305084745762712,3.790752387195102e-07,9.000000027302756,9.000000027302756
0.013559322033898306,0.847457627118644,6.262583611683362e-07,9.000000034564962,9.000000034564962
0.013559322033898306,0.864406779661017,1.1175510703695828e-06,9.000000045230262,9.000000045230262
0.013559322033898306,0.8813559322033898,2.210949685810457e-06,9.000000061988855,9.000000061988855
0.013559322033898306,0.8983050847457628,5.069603908210823e-06,9.000000091133327,9.000000091133327
0.013559322033898306,0.9152542372881356,1.4718894940221328e-05,9.000000151562903,9.000000151562903
0.013559322033898306,0.9322033898305084,6.892160357452117e-05,9.00000034365784,9.00000034365784
0.013559322033898306,0.9491525423728814,0.008538609332031698,9.999825971190358,9.999825971190358
0.013559322033898306,0.9661016949152542,0.000207239149864439,9.999999897119148,9.999999897119148
0.013559322033898306,0.9830508474576272,0.00010489212287125259,9.99999997337125,9.99999997337125
0.013559322033898306,1.0,7.021554587904848e-05,9.999999987874975,9.999999987874975
0.016949152542372885,0.0,8.163908346344102e-05,8.00000003100793,8.00000003100793
0.016949152542372885,0.01694915254237288,0.00018065142657437192,8.000000147488063,8.000000147488063
0.016949152542372885,0.03389830508474576,0.0005939338410841151,8.999995889948128,8.999995889948128
0.016949152542372885,0.05084745762711865,2.1547045824183087e-05,8.999999664559844,8.999999664559844
0.016949152542372885,0.06779661016949153,4.688295473690434e-06,8.999999847512,8.999999847512
0.016949152542372885,0.0847457627118644,1.6539390441466459e-06,8.999999910545409,8.999999910545409
0.016949152542372885,0.1016949152542373,7.532774490201777e-07,8.99999994086863,8.99999994086863
0.016949152542372885,0.11864406779661017,4.03680696546184e-07,8.999999958032799,8.999999958032799
0.016949152542372885,0.13559322033898305,2.4248543997298804e-07,8.999999968773183,8.999999968773183
0.016949152542372885,0.15254237288135594,1.5859762063505067e-07,8.999999975976362,8.999999975976362
0.016949152542372885,0.1694915254237288,1.1083564242809343e-07,8.999999981062693,8.999999981062693
0.016949152542372885,0.1864406779661017,8.16937970801915e-08,8.999999984801214,8.999999984801214
0.016949152542372885,0.2033898305084746,6.291651099869993e-08,8.99999998764039,8.99999998764039
0.016949152542372885,0.22033898305084745,5.027898637524036e-08,8.999999989856471,8.999999989856471
0.016949152542372885,0.23728813559322035,4.14715755580658e-08,8.999999991627524,8.999999991627524
0.016949152542372885,0.2542372881355932,3.516102877561949e-08,8.999999993072928,8.999999993072928
0.016949152542372885,0.2711864406779661,3.054198350353786e-08,8.999999994275136,8.999999994275136
0.016949152542372885,0.288135593220339,2.7109124683144716e-08,8.999999995292885,8.999999995292885
0.016949152542372885,0.3050847457627119,2.4535192556011736e-08,8.999999996169006,8.999999996169006
0.016949152542372885,0.3220338983050847,2.260272305879169e-08,8.999999996935223,8.999999996935223
0.016949152542372885,0.3389830508474576,2.1164377350537307e-08,8.999999997616069,8.999999997616069
0.016949152542372885,0.3559322033898305,2.0119108120574062e-08,8.999999998230596,8.999999998230596
0.016949152542372885,0.3728813559322034,1.9397482040863605e-08,8.999999998793385,8.999999998793385
0.016949152542372885,0.3898305084745763,1.8952461835716714e-08,8.999999999316955,8.999999999316955
